Id,Age,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
65b24dfa-d99d-74ae-bd55-d363e509cb7c,27,,999-54-6959,S99996424,X45500897X,Mr.,Mac103,Runte676,,,S,white,nonhispanic,M,Plymouth  Massachusetts  US,960 Wiegand Burg Apt 94,Barnstable,Massachusetts,Barnstable County,2647,41.67379781,-70.27238126,739809.25,1061.91
6d95ba48-a8be-b4c8-cdf6-f3d89142217b,35,,999-60-2854,S99933959,X72103595X,Mr.,Jefferey580,Murazik203,,,S,white,nonhispanic,M,Boston  Massachusetts  US,600 Grimes Station,Brockton,Massachusetts,Plymouth County,2301,42.0831396,-71.01479409,874894.8325,14231.5875
46d05bdc-d001-63cc-693c-d7f29d531cb1,7,,999-49-1943,,,,Ronnie7,Smith67,,,,white,nonhispanic,M,Sharon  Massachusetts  US,665 Roob Gardens,Boston,Massachusetts,Suffolk County,2124,42.31722264,-71.03528825,172958.2375,1979.8425
527c52ef-be00-25b5-823b-b87005bf0d5f,54,,999-40-6727,S99951719,X1779287X,Mrs.,Valarie790,Hackett68,,Rice937,M,asian,nonhispanic,F,Danvers  Massachusetts  US,695 Cassin Path,Somerville,Massachusetts,Middlesex County,2140,42.36032355,-71.11604272,368924.247,894656.743
2599cde2-f690-8596-3cb5-905d701f6987,32,,999-45-7333,S99931616,X84630753X,Mr.,Filiberto722,West559,,,M,white,nonhispanic,M,Littleton  Massachusetts  US,226 Skiles Junction,Ludlow,Massachusetts,Hampden County,,42.17052931,-72.43959492,135856.4405,524142.3695
3583d823-d754-41b3-462f-3fb199c7b183,61,,999-60-3795,S99972612,X52173182X,Mr.,Lynn917,Kuvalis369,,,S,white,nonhispanic,M,Everett  Massachusetts  US,162 Leuschke Route Apt 82,Wareham,Massachusetts,Plymouth County,,41.72351829,-70.70810541,1697379.843,67212.6675
e9922ddd-8e85-9837-9ac8-885c34075450,70,,999-91-6093,S99941771,X14585646X,Mrs.,Charlena802,Ernser583,,Dickens475,M,white,nonhispanic,F,Somerville  Massachusetts  US,1042 Roberts Wynd,Waltham,Massachusetts,Middlesex County,2451,42.39578128,-71.17787025,2181451.333,685662.5575
5754cd1b-a29d-86d0-ecc7-358c06f0bb08,33,,999-30-7711,S99972151,X47570332X,Mrs.,Sandie760,Sanford861,,Wyman904,M,white,nonhispanic,F,Rochester  Massachusetts  US,454 Kuphal View,Needham,Massachusetts,Norfolk County,,42.32366257,-71.22563577,1271127.372,275801.008
7a8a97f0-61b2-bd81-e556-ddea3d2f55f0,45,,999-46-1942,S99997709,X43705682X,Mr.,Huey641,Fritsch593,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,629 Haag Park Apt 43,Peabody,Massachusetts,Essex County,1940,42.51193432,-71.00330116,1933860.315,10709.085
f3d4b3f5-5ca8-d376-c3ae-f61c93b1d130,55,,999-92-5582,S99929701,X85339645X,Mr.,Bruno518,Lehner980,,,M,white,nonhispanic,M,Boston  Massachusetts  US,699 O'Kon Rue,Falmouth,Massachusetts,Barnstable County,,41.55508187,-70.64685865,1411729.958,1298.4825
